Embalse,Capacidad,Emblasada,Variación,Fecha datos
 LORIGUILLA,73,21,-1,2019-11-11
 MARIA CRISTINA,18,2,-1,2019-11-11
 SICHAR,49,34,0,2019-11-11
 TOUS - LA RIBERA,379,69,2,2019-11-11
 ULLDECONA,11,1,0,2019-11-11
 ALANGE,852,270,-1,2019-11-11
 ALCANTARA,3160,1362,5,2019-11-11
 BAÑOS,41,20,0,2019-11-11
 BOQUERON,6,4,0,2019-11-11
 BORBOLLON,88,17,0,2019-11-11
 BROVALES,7,3,0,2019-11-11
 CACERES - GUADILOBA,20,8,0,2019-11-11
 CANCHO DEL FRESNO,15,7,0,2019-11-11
 CEDILLO,260,73,-5,2019-11-11
 CIJARA,1505,485,0,2019-11-11
 CORNALVO,11,0,0,2019-11-11
 CUBILAR,10,2,0,2019-11-11
 EL AGUIJON,11,9,0,2019-11-11
 GABRIEL Y GALAN,911,172,2,2019-11-11
 GARCIA DE SOLA,554,264,0,2019-11-11
 GARGALIGAS,21,9,0,2019-11-11
 GUIJO DE GRANADILLA,13,12,1,2019-11-11
 HORNO TEJERO,24,18,0,2019-11-11
 JERTE - PLASENCIA,59,32,1,2019-11-11
 LA SERENA,3219,829,-2,2019-11-11
 LLERENA,9,0,0,2019-11-11
 LOS CANCHALES,26,11,0,2019-11-11
 LOS MOLINOS,34,26,0,2019-11-11
 MONTIJO,11,11,0,2019-11-11
 NOGALES,15,10,0,2019-11-11
 ORELLANA,808,519,-1,2019-11-11
 PIEDRA AGUDA,16,5,0,2019-11-11
 PORTAJE,23,10,0,2019-11-11
 PROSERPINA,5,3,0,2019-11-11
 RIVERA DE GATA,49,11,0,2019-11-11
 RUECAS,44,18,0,2019-11-11
 SALOR,14,3,0,2019-11-11
 SIERRA BRAVA,233,113,-1,2019-11-11
 TENTUDIA,5,2,-1,2019-11-11
 TORREJON (TAJO - TIETAR),188,146,-5,2019-11-11
 VALDECAÑAS,1446,573,22,2019-11-11
 VALDEOBISPO,53,45,0,2019-11-11
 VALUENGO,20,6,0,2019-11-11
 VILLAR DEL REY,131,64,0,2019-11-11
 ZUJAR,302,235,0,2019-11-11
 ALBARELLOS,91,28,-1,2019-11-11
 BAO,238,148,-8,2019-11-11
 BARRIE DE LA MAZA,31,10,1,2019-11-11
 BELESAR,655,309,-12,2019-11-11
 CASTRELO,60,53,1,2019-11-11
 CECEBRE,22,11,0,2019-11-11
 CENZA,40,35,0,2019-11-11
 CHANDREJA,61,14,0,2019-11-11
 EDRADA,14,5,0,2019-11-11
 EIRAS,22,20,2,2019-11-11
 EUME,123,83,4,2019-11-11
 FERVENZA,103,56,3,2019-11-11
 FORCADAS,11,7,0,2019-11-11
 FRIEIRA,44,39,3,2019-11-11
 GUISTOLAS,5,3,0,2019-11-11
 LA RIBEIRA,33,23,2,2019-11-11
 LAS CONCHAS,80,23,0,2019-11-11
 LAS PORTAS,536,350,15,2019-11-11
 LOS PEARES,182,165,-9,2019-11-11
 MONTEFURADO,10,9,0,2019-11-11
 PEÑARRUBIA,13,11,0,2019-11-11
 PIAS (SAN AGUSTIN),10,7,0,2019-11-11
 PORTODEMOUROS,297,211,1,2019-11-11
 PRADA,122,93,0,2019-11-11
 RIOCOBO,6,3,0,2019-11-11
 SALAS,87,27,0,2019-11-11
 SAN ESTEBAN,213,163,1,2019-11-11
 SAN MARTIN,10,10,1,2019-11-11
 SAN PEDRO,6,5,0,2019-11-11
 SANTA EUGENIA,18,15,0,2019-11-11
 SANTA EULALIA,10,8,0,2019-11-11
 SEQUEIROS,11,10,0,2019-11-11
 VELLE,17,13,-1,2019-11-11
 VILASOUTO,21,7,0,2019-11-11
 VILLAGUDIN,18,16,0,2019-11-11
 GONZALEZ LACASA,33,7,0,2019-11-11
 MANSILLA,68,26,0,2019-11-11
 PAJARES,35,8,0,2019-11-11
 ALLOZ,66,17,-2,2019-11-11
 AÑARBE,38,28,0,2019-11-11
 EUGUI,21,12,0,2019-11-11
 IRABIA,14,4,0,2019-11-11
 ITOIZ,417,170,1,2019-11-11
 SAN ANTON,5,4,0,2019-11-11
 URDALUR,6,3,0,2019-11-11
 YESA,447,102,13,2019-11-11
 ALBIÑA,5,3,0,2019-11-11
 IBAI-EDER,11,7,0,2019-11-11
 IBIUR,8,5,0,2019-11-11
 ULLIVARRI,146,89,0,2019-11-11
 URKULU,10,7,0,2019-11-11
 URRUNAGA,72,42,-1,2019-11-11
 ALFONSO XIII,22,10,0,2019-11-11
 ALGECIRAS,45,11,1,2019-11-11
 ARGOS,10,7,0,2019-11-11
 LA CIERVA,7,5,0,2019-11-11
 PUENTES,26,14,1,2019-11-11
 SANTOMERA,26,8,-2,2019-11-11
 VALDEINFIERNO,12,3,-1,2019-11-11
